max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,accuracy,mean_cv_score
100,4,3,10,1000,0.5714285714285714,0.6296296296296295
100,4,3,10,2000,0.5714285714285714,0.6296296296296295
100,4,3,12,100,0.5714285714285714,0.6759259259259259
100,4,3,12,200,0.5714285714285714,0.6666666666666666
100,4,3,12,300,0.5714285714285714,0.6666666666666666
100,4,3,12,500,0.5714285714285714,0.6666666666666666
100,4,3,12,1000,0.5714285714285714,0.6666666666666666
100,4,3,12,2000,0.5714285714285714,0.6666666666666666
100,4,4,6,100,0.5714285714285714,0.8148148148148148
100,4,4,6,200,0.5714285714285714,0.7037037037037037
